,0
96,3 Ninjas Kick Back (1994)
97,3 Ninjas Knuckle Up (1995)
98,3 Ninjas: High Noon On Mega Mountain (1998)
99,3 Women (Three Women) (1977)
100,3 dev adam (Three Giant Men) (1973) 
101,3-Iron (Bin-jip) (2004)
102,30 Days of Night (2007)
103,30 Minutes or Less (2011)
104,300 (2007)
105,3000 Miles to Graceland (2001)
106,300: Rise of an Empire (2014)
107,31 (2016)
108,35 Up (1991)
109,"39 Steps, The (1935)"
110,3:10 to Yuma (1957)
111,3:10 to Yuma (2007)
112,4 Little Girls (1997)
113,"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007)"
114,40 Days and 40 Nights (2002)
115,"40-Year-Old Virgin, The (2005)"
116,"400 Blows, The (Les quatre cents coups) (1959)"
117,42 (2013)
118,42 Up (1998)
119,42nd Street (1933)
120,47 Ronin (2013)
121,48 Hrs. (1982)
122,49 Up (2005)
123,5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007)
124,5 to 7 (2014)
125,"5,000 Fingers of Dr. T, The (1953)"
126,50 First Dates (2004)
127,50/50 (2011)
128,52 Pick-Up (1986)
129,54 (1998)
130,6 Days to Air: The Making of South Park (2011)
131,61* (2001)
132,"6th Day, The (2000)"
133,"6th Man, The (Sixth Man, The) (1997)"
134,7 Days in Hell (2015)
135,7 Faces of Dr. Lao (1964)
136,"7th Voyage of Sinbad, The (1958)"
137,8 1/2 (8½) (1963)
138,8 Heads in a Duffel Bag (1997)
139,8 Mile (2002)
140,8 Seconds (1994)
141,8 Women (2002)
142,8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999)
143,800 Bullets (800 Balas) (2002)
144,84 Charing Cross Road (1987)
145,8MM (1999)
146,9 (2009)
147,9 1/2 Weeks (Nine 1/2 Weeks) (1986)
148,9/11 (2002)
149,96 Minutes (2011) 
150,964 Pinocchio (1991)
151,99 francs (2007)
152,9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn) (2008)
153,A Bad Moms Christmas (2017)
154,A Christmas Story Live! (2017)
155,A Cosmic Christmas (1977)
156,A Detective Story (2003)
157,A Dog's Purpose (2017)
158,A Flintstones Christmas Carol (1994)
159,A German Life (2016)
160,A Home at the End of the World (2004)
161,A Man Called Blade (1977)
162,A Man from Boulevard des Capucines (1987)
163,A Merry Friggin' Christmas (2014)
164,A Midsummer Night's Dream (2016)
165,A Million Ways to Die in the West (2014)
166,A Most Wanted Man (2014)
167,A Perfect Day (2015)
168,A Pigeon Sat on a Branch Reflecting on Existence (2014)
169,A Plasticine Crow (1981)
170,A Quiet Place (2018)
171,A Silent Voice (2016)
172,A Story of Children and Film (2013)
173,A Street Cat Named Bob (2016)
174,A Very Murray Christmas (2015)
175,A Walk in the Woods (2015)
176,A Wrinkle in Time (2018)
177,"A-Team, The (2010)"
178,A.I. Artificial Intelligence (2001)
179,"ABCs of Death, The (2012)"
180,ARQ (2016)
181,AVP: Alien vs. Predator (2004)
182,AVPR: Aliens vs. Predator - Requiem (2007)
183,"Abandoned, The (2006)"
184,Abbott and Costello Meet Frankenstein (1948)
185,Abduction (2011)
186,"Abominable Dr. Phibes, The (1971)"
187,"Abominable Snowman, The (Abominable Snowman of the Himalayas, The) (1957)"
188,About Adam (2000)
189,About Last Night (2014)
190,About Last Night... (1986)
191,About Schmidt (2002)
192,About Time (2013)
193,About a Boy (2002)
194,Above the Law (1988)
195,Above the Rim (1994)
196,Abraham Lincoln: Vampire Hunter (2012)
197,Absence of Malice (1981)
198,"Absent-Minded Professor, The (1961)"
199,Absentia (2011)
200,Absolute Power (1997)
201,Absolutely Anything (2015)
202,"Abyss, The (1989)"
203,Accepted (2006)
204,"Accidental Spy, The (Dak miu mai shing) (2001)"
205,"Accidental Tourist, The (1988)"
206,"Accused, The (1988)"
207,Ace Ventura: Pet Detective (1994)
208,Ace Ventura: When Nature Calls (1995)
209,"Ace in the Hole (Big Carnival, The) (1951)"
210,Aces: Iron Eagle III (1992)
211,"Acid House, The (1998)"
212,Across the Hall (2009)
213,Across the Universe (2007)
214,"Act of Killing, The (2012)"
215,Act of Valor (2012)
216,Action Jackson (1988)
217,Adam and Eve (National Lampoon's Adam & Eve) (2005)
218,Adam's Apples (Adams æbler) (2005)
219,Adam's Rib (1949)
220,Adanggaman (2000)
221,Adaptation (2002)
222,Addams Family Reunion (1998)
223,Addams Family Values (1993)
224,"Addams Family, The (1991)"
225,Addicted to Love (1997)
226,"Addiction, The (1995)"
227,"Adjustment Bureau, The (2011)"
228,Admission (2013)
229,Adventureland (2009)
230,Adventures Of Sherlock Holmes And Dr. Watson: The Twentieth Century Approaches (1986)
231,Adventures in Babysitting (1987)
232,Adventures in Plymptoons! (2011)
233,"Adventures of Baron Munchausen, The (1988)"
234,"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)"
235,"Adventures of Elmo in Grouchland, The (1999)"
236,"Adventures of Ford Fairlane, The (1990)"
237,"Adventures of Huck Finn, The (1993)"
238,"Adventures of Ichabod and Mr. Toad, The (1949)"
239,"Adventures of Mary-Kate and Ashley, The: The Case of the Christmas Caper (1995)"
240,"Adventures of Milo and Otis, The (Koneko monogatari) (1986)"
241,Adventures of Mowgli: The Kidnapping (1968)
242,"Adventures of Pinocchio, The (1996)"
243,"Adventures of Pluto Nash, The (2002)"
244,"Adventures of Priscilla, Queen of the Desert, The (1994)"
245,"Adventures of Robin Hood, The (1938)"
246,"Adventures of Rocky and Bullwinkle, The (2000)"
247,"Adventures of Sebastian Cole, The (1998)"
248,"Adventures of Sharkboy and Lavagirl 3-D, The (2005)"
249,"Adventures of Tintin, The (2011)"
250,Advise and Consent (1962)
251,Aelita: The Queen of Mars (Aelita) (1924)
252,Aeon Flux (2005)
253,"Affair of Love, An (Liaison pornographique, Une) (1999)"
254,"Affair of the Necklace, The (2001)"
255,"Affair to Remember, An (1957)"
256,Afflicted (2013)
257,Affliction (1997)
258,Afonya (1975)
259,Africa: The Serengeti (1994)
260,African Cats (2011)
261,"African Queen, The (1951)"
262,Afro Samurai (2007)
263,Afro Samurai: Resurrection (2009)
264,After Earth (2013)
265,After Hours (1985)
266,After Life (Wandafuru raifu) (1998)
267,After the Fox (Caccia alla volpe) (1966)
268,After the Sunset (2004)
269,After the Thin Man (1936)
270,After the Wedding (Efter brylluppet) (2006)
271,Afterglow (1997)
272,Against All Odds (1984)
273,Against the Ropes (2004)
274,"Age of Innocence, The (1993)"
275,Agent Cody Banks (2003)
276,Agent Cody Banks 2: Destination London (2004)
277,Agnes of God (1985)
278,"Agony and the Ecstasy, The (1965)"
279,Agora (2009)
280,"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972)"
281,Aileen: Life and Death of a Serial Killer (2003)
282,Air America (1990)
283,Air Bud (1997)
284,Air Bud: Golden Receiver (1998)
285,Air Force One (1997)
286,"Air I Breathe, The (2007)"
287,"Air Up There, The (1994)"
288,Airborne (1993)
289,Airheads (1994)
290,Airplane II: The Sequel (1982)
291,Airplane! (1980)
292,Airport '77 (1977)
293,Airport (1970)
294,Airport 1975 (1974)
295,Akeelah and the Bee (2006)
296,Akira (1988)
297,Akira Kurosawa's Dreams (Dreams) (1990)
298,Aladdin (1992)
299,Aladdin and the King of Thieves (1996)
300,"Alamo, The (1960)"
301,Alan Partridge: Alpha Papa (2013)
302,Alaska (1996)
303,Alaska: Spirit of the Wild (1997)
304,Albatross (2011)
305,Albino Alligator (1996)
306,Alesha Popovich and Tugarin the Dragon (2004)
307,Alex Cross (2012)
308,Alex and Emma (2003)
309,Alexander (2004)
310,Alexander Nevsky (Aleksandr Nevskiy) (1938)
311,Alfie (1966)
312,Alfie (2004)
313,Ali (2001)
314,Ali G Indahouse (2002)
315,Ali Wong: Baby Cobra (2016)
316,Ali: Fear Eats the Soul (Angst essen Seele auf) (1974)
317,Alias Betty (Betty Fisher et autres histoires) (2001)
318,Alice (1990)
319,Alice (2009)
320,Alice (Neco z Alenky) (1988)
321,Alice Adams (1935)
322,Alice Doesn't Live Here Anymore (1974)
323,Alice Through the Looking Glass (2016)
324,Alice in Wonderland (1933)
325,Alice in Wonderland (1951)
326,Alice in Wonderland (2010)
327,Alien (1979)
328,Alien Contamination (1980)
329,Alien Nation (1988)
330,Alien from L.A. (1988)
331,Alien: Covenant (2017)
332,Alien: Resurrection (1997)
333,Aliens (1986)
334,Alien³ (a.k.a. Alien 3) (1992)
335,Alive (1993)
336,All About Eve (1950)
337,All About Lily Chou-Chou (Riri Shushu no subete) (2001)
338,All About My Mother (Todo sobre mi madre) (1999)
339,All About the Benjamins (2002)
340,"All Dogs Christmas Carol, An (1998)"
341,All Dogs Go to Heaven (1989)
342,All Dogs Go to Heaven 2 (1996)
343,All Good Things (2010)
344,All Is Lost (2013)
345,All Over the Guy (2001)
346,All Quiet on the Western Front (1930)
347,All Roads Lead to Rome (2016)
348,All That Heaven Allows (1955)
349,All That Jazz (1979)
350,"All This, and Heaven Too (1940)"
351,All Watched Over by Machines of Loving Grace (2011)
352,All Yours (2016)
353,All is Bright (2013)
354,All of Me (1984)
355,All or Nothing (2002)
356,All the Boys Love Mandy Lane (2006)
357,All the King's Men (1949)
358,All the King's Men (2006)
359,All the President's Men (1976)
360,All the Pretty Horses (2000)
361,All the Real Girls (2003)
362,All the Right Moves (1983)
363,All the Vermeers in New York (1990)
364,All-Star Superman (2011)
365,Allan Quatermain and the Lost City of Gold (1987)
366,Allegro non troppo (1977)
367,Alles Inklusive (2014)
368,Alligator (1980)
369,"Allnighter, The (1987)"
370,Almost Famous (2000)
371,Almost Heroes (1998)
372,Almost an Angel (1990)
373,Aloha (2015)
374,Alone in the Dark (2005)
375,Alone in the Dark II (2008)
376,Along Came Polly (2004)
377,Along Came a Spider (2001)
378,Alpha (2018)
379,Alpha Dog (2007)
380,Alpha and Omega 3: The Great Wolf Games (2014)
381,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)"
382,Altered (2006)
383,Altered States (1980)
384,Alvarez Kelly (1966)
385,Alvin and the Chipmunks (2007)
386,Alvin and the Chipmunks: Chipwrecked (2011)
387,Alvin and the Chipmunks: The Squeakquel (2009)
388,Always (1989)
389,Always Watching: A Marble Hornets Story (2015)
390,Amadeus (1984)
391,Amanda Knox (2016)
392,Amarcord (1973)
393,Amateur (1994)
394,Amazing Grace (2006)
395,Amazing Grace and Chuck (1987)
396,"Amazing Panda Adventure, The (1995)"
397,"Amazing Spider-Man, The (2012)"
398,"Amazing Transparent Man, The (1960)"
399,Amazon Women on the Moon (1987)
400,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
401,Amen. (2002)
402,Amer (2009)
403,America's Sweethearts (2001)
404,"American Astronaut, The (2001)"
405,American Beauty (1999)
406,American Buffalo (1996)
407,"American Carol, An (2008)"
408,American Dreamz (2006)
409,American Drug War: The Last White Hope (2007)
410,American Fable (2017)
411,American Flyers (1985)
412,"American Friend, The (Amerikanische Freund, Der) (1977)"
413,American Gangster (2007)
414,American Gigolo (1980)
415,American Graffiti (1973)
416,American Grindhouse (2010)
417,American Hardcore (2006)
418,"American Haunting, An (2005)"
419,American Heist (2015)
420,American History X (1998)
421,American Hustle (2013)
422,American Made (2017)
423,American Me (1992)
424,American Movie (1999)
425,American Ninja (1985)
426,American Outlaws (2001)
427,American Pie (1999)
428,American Pie 2 (2001)
429,American Pie Presents Beta House (American Pie 6: Beta House) (2007)
430,American Pie Presents The Naked Mile (American Pie 5: The Naked Mile) (2006)
431,American Pie Presents: Band Camp (American Pie 4: Band Camp) (2005)
432,American Pie Presents: The Book of Love (American Pie 7: The Book of Love) (2009)
433,American Pop (1981)
434,"American President, The (1995)"
435,American Psycho (2000)
436,American Psycho II: All American Girl (2002)
437,American Reunion (American Pie 4) (2012)
438,American Sniper (2014)
439,American Splendor (2003)
440,"American Tail, An (1986)"
441,"American Tail: Fievel Goes West, An (1991)"
442,American Ultra (2015)
443,American Wedding (American Pie 3) (2003)
444,"American Werewolf in London, An (1981)"
445,"American Werewolf in Paris, An (1997)"
446,"American in Paris, An (1951)"
447,"American, The (2010)"
448,American: The Bill Hicks Story (2009)
449,"Americanization of Emily, The (1964)"
450,Americathon (1979)
451,Amistad (1997)
452,Amityville 1992: It's About Time (1992)
453,Amityville 3-D (1983)
454,"Amityville Curse, The (1990)"
455,"Amityville Horror, The (1979)"
456,"Amityville Horror, The (2005)"
457,Amityville II: The Possession (1982)
458,Amityville: A New Generation (1993)
459,Amityville: Dollhouse (1996)
460,Amores Perros (Love's a Bitch) (2000)
461,Amos & Andrew (1993)
462,Amy (2015)
463,Amy's O (a.k.a. Amy's Orgasm) (2001)
464,An Amazing Couple (2002)
465,Anacleto: Agente secreto (2015)
466,Anaconda (1997)
467,Anaconda: The Offspring (2008)
468,Anacondas: The Hunt for the Blood Orchid (2004)
469,Analyze That (2002)
470,Analyze This (1999)
471,"Anarchist Cookbook, The (2002)"
472,Anastasia (1956)
473,Anastasia (1997)
474,Anatomy of a Murder (1959)
475,Anchorman 2: The Legend Continues (2013)
476,Anchorman: The Legend of Ron Burgundy (2004)
477,Anchors Aweigh (1945)
478,And God Created Woman (Et Dieu... créa la femme) (1956)
479,And Now... Ladies and Gentlemen... (2002)
480,And So It Goes (2014)
481,And Starring Pancho Villa as Himself (2003)
482,And Then There Were None (1945)
483,And Your Mother Too (Y tu mamá también) (2001)
484,And the Band Played On (1993)
485,And the Ship Sails On (E la nave va) (1983)
486,"Andalusian Dog, An (Chien andalou, Un) (1929)"
487,Andre (1994)
488,Andrei Rublev (Andrey Rublyov) (1969)
489,Andrew Dice Clay: Dice Rules (1991)
490,Android (1982)
491,"Andromeda Strain, The (1971)"
492,Angel Baby (1995)
493,Angel Eyes (2001)
494,Angel Heart (1987)
495,"Angel at My Table, An (1990)"
496,Angel's Egg (Tenshi no tamago) (1985)
497,Angel-A (2005)
498,Angela's Ashes (1999)
499,Angels & Demons (2009)
500,Angels and Insects (1995)
501,Angels in the Outfield (1994)
502,Angels with Dirty Faces (1938)
503,"Angels' Share, The (2012)"
504,Anger Management (2003)
505,Angie (1994)
506,"Angriest Man in Brooklyn, The (2014)"
507,"Angry Red Planet, The (1959)"
508,Angst  (1983)
509,Angus (1995)
510,"Angus, Thongs and Perfect Snogging (2008)"
511,Animal Crackers (1930)
512,Animal Factory (2000)
513,Animal Farm (1954)
514,Animal House (1978)
515,"Animal, The (2001)"
516,Animals are Beautiful People (1974)
517,"Animatrix, The (2003)"
518,Anna Christie (1930)
519,Anna Karenina (1935)
520,Anna Karenina (1997)
521,Anna Karenina (2012)
522,Anna and the King (1999)
523,Annabelle (2014)
524,Annabelle: Creation (2017)
525,Annapolis (2006)
526,Anne Frank Remembered (1995)
527,Anne of Green Gables (1985)
528,Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987)
529,Anne of the Thousand Days (1969)
530,Annie (1982)
531,Annie Get Your Gun (1950)
532,Annie Hall (1977)
533,Annihilation (2018)
534,"Anniversary Party, The (2001)"
535,Anomalisa (2015)
536,Another 48 Hrs. (1990)
537,Another Cinderella Story (2008)
538,Another Earth (2011)
539,Another Gay Movie (2006)
540,Another Stakeout (1993)
541,Another Thin Man (1939)
542,Another Woman (1988)
543,"Ant Bully, The (2006)"
544,Ant-Man (2015)
545,Ant-Man and the Wasp (2018)
546,Anthony Adverse (1936)
547,Anti-Social (2015)
548,Antichrist (2009)
549,Antitrust (2001)
550,Antonia's Line (Antonia) (1995)
551,Antonio Gaudí (1985)
552,Antwone Fisher (2002)
553,Antz (1998)
554,Anvil! The Story of Anvil (2008)
555,Any Given Sunday (1999)
556,Any Which Way You Can (1980)
557,Anything Else (2003)
558,Anything for Her (Pour elle) (2008)
559,Anything for Love (2016)
560,Anywhere But Here (1999)
561,"Apartment, The (1960)"
562,"Apartment, The (Appartement, L') (1996)"
563,Apocalypse Now (1979)
564,Apocalypto (2006)
565,Apollo 13 (1995)
566,Apollo 18 (2011)
567,"Apostle, The (1997)"
568,Appaloosa (2008)
569,"Apple Dumpling Gang Rides Again, The (1979)"
570,"Apple Dumpling Gang, The (1975)"
571,"Apple, The (Sib) (1998)"
572,Applesauce (2015)
573,Appleseed (Appurushîdo) (2004)
574,April Fool's Day (1986)
575,April Morning (1988)
576,Apt Pupil (1998)
577,Aqua Teen Hunger Force Colon Movie Film for Theaters (2007)
578,Aquamarine (2006)
579,Arachnophobia (1990)
580,Ararat (2002)
581,Are We Done Yet? (2007)
582,Are We There Yet? (2005)
583,Are You Scared? (2006)
584,Argo (2012)
585,Ari Shaffir: Double Negative (2017)
586,Ariel (1988)
587,"Aristocats, The (1970)"
588,"Aristocrats, The (2005)"
589,Arizona Dream (1993)
590,Arlington Road (1999)
591,Armageddon (1998)
592,Armed and Dangerous (1986)
593,Armour of God (Long xiong hu di) (1987)
594,Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak) (1991)
595,Army of Darkness (1993)
596,Army of Shadows (L'armée des ombres) (1969)
597,Around the World in 80 Days (1956)
598,Around the World in 80 Days (2004)
599,Arrival (2016)
600,"Arrival, The (1996)"
601,Arsenic and Old Lace (1944)
602,Art School Confidential (2006)
603,"Art of Getting By, The (2011)"
604,"Art of War, The (2000)"
605,"Art of the Steal, The (2009)"
606,"Art of the Steal, The (2013)"
607,Artemisia (1997)
608,Arthur (1981)
609,Arthur (2011)
610,Arthur 2: On the Rocks (1988)
611,Arthur Christmas (2011)
612,"As Above, So Below (2014)"
613,As Good as It Gets (1997)
614,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty (2000)
615,As You Like It (2006)
616,"Ascent, The (Voskhozhdeniye) (1977)"
617,Ashby (2015)
618,Ashes and Diamonds (Popiól i diament) (1958)
619,Ashes of Time (Dung che sai duk) (1994)
620,Ask the Dust (2006)
621,Aspen Extreme (1993)
622,"Asphalt Jungle, The (1950)"
623,"Asphyx, The (1973)"
624,Assassin's Creed (2016)
625,Assassination (1987)
626,Assassination Tango (2002)
627,"Assassination of Jesse James by the Coward Robert Ford, The (2007)"
628,"Assassination of Richard Nixon, The (2004)"
629,Assassination of a High School President (2008)
630,Assassins (1995)
631,Assault on Precinct 13 (1976)
632,Assault on Precinct 13 (2005)
633,Assembly (Ji jie hao) (2007) 
634,"Assignment, The (1997)"
635,Asterix & Obelix vs. Caesar (Astérix et Obélix contre César) (1999)
636,Asterix & Obelix: God Save Britannia (Astérix et Obélix: Au service de Sa Majesté) (2012)
637,Asterix & Obelix: Mission Cleopatra (Astérix & Obélix: Mission Cléopâtre) (2002)
638,Asterix and Cleopatra (Astérix et Cléopâtre) (1968)
639,Asterix and the Vikings (Astérix et les Vikings) (2006)
640,Asterix at the Olympic Games (Astérix aux jeux olympiques) (2008)
641,Asterix in America (a.k.a Asterix Conquers America) (Astérix et les Indiens) (1994)
642,Asterix: The Land of the Gods (Astérix: Le domaine des dieux) (2014)
643,"Astronaut Farmer, The (2007)"
644,"Astronaut's Wife, The (1999)"
645,At Close Range (1986)
646,At First Sight (1999)
647,At Middleton (2013)
648,At the Circus (1939)
649,"Atalante, L' (1934)"
650,Atlantic City (1980)
651,Atlantis: The Lost Empire (2001)
652,Atlas Shrugged: Part 1 (2011)
653,Atomic Blonde (2017)
654,"Atomic Brain, The (1963)"
655,"Atomic Cafe, The (1982)"
656,"Atomic Submarine, The (1959)"
657,Atonement (2007)
658,Atragon (Kaitei Gunkan) (1963)
659,Attack of the 50 Foot Woman (1958)
660,Attack of the Crab Monsters (1957)
661,Attack of the Giant Leeches (1959)
662,Attack of the Killer Tomatoes! (1978)
663,Attack of the Puppet People (1958)
664,Attack the Block (2011)
665,Attila (Attila Flagello di Dio) (1982)
666,Au Hasard Balthazar (1966)
667,Au revoir les enfants (1987)
668,Audition (Ôdishon) (1999)
669,Audrey Rose (1977)
670,August Rush (2007)
671,Auntie Mame (1958)
672,Austenland (2013)
673,Austin Powers in Goldmember (2002)
674,Austin Powers: International Man of Mystery (1997)
675,Austin Powers: The Spy Who Shagged Me (1999)
676,Australia (2008)
677,Auto Focus (2002)
678,Autumn Marathon (1979)
679,Autumn Sonata (Höstsonaten) (1978)
680,Autumn Spring (Babí léto) (2001)
681,"Autumn Tale, An (Conte d'automne) (1998)"
682,Autumn in New York (2000)
683,Autómata (Automata) (2014)
684,Avalanche (1978)
685,Avalon (1990)
686,Avalon (2001)
687,Avanti! (1972)
688,Avatar (2009)
689,"Avengers, The (1998)"
690,"Avengers, The (2012)"
691,Avengers: Age of Ultron (2015)
692,Avengers: Infinity War - Part I (2018)
693,"Aviator, The (2004)"
694,"Avventura, L' (Adventure, The) (1960)"
695,Awake (2007)
696,"Awakening, The (1980)"
697,Awakenings (1990)
698,Away We Go (2009)
699,Away from Her (2006)
700,"Awful Truth, The (1937)"
701,"Awfully Big Adventure, An (1995)"
702,Azumi (2003)
703,B*A*P*S (1997)
704,B. Monkey (1998)
705,B/W (2015)
706,BASEketball (1998)
707,BMX Bandits (1983)
708,BURN-E (2008)
709,Baadasssss! (How to Get the Man's Foot Outta Your Ass) (2003)
710,"Baader Meinhof Komplex, Der (2008)"
711,Baarìa (2009)
712,"Babadook, The (2014)"
713,Babe (1995)
714,"Babe, The (1992)"
715,Babe: Pig in the City (1998)
716,Babel (2006)
717,Babes in Toyland (1934)
718,Babes in Toyland (1961)
719,Babette's Feast (Babettes gæstebud) (1987)
720,Baby Boom (1987)
721,Baby Boy (2001)
722,Baby Driver (2017)
723,Baby Geniuses (1999)
724,Baby Mama (2008)
725,Baby's Day Out (1994)
726,"Baby, The (1973)"
727,"Baby-Sitters Club, The (1995)"
728,Baby... Secret of the Lost Legend (1985)
729,Babylon 5
730,Babylon 5: A Call to Arms (1999)
731,Babylon 5: In the Beginning (1998)
732,Babylon 5: The Gathering (1993)
733,Babylon 5: The Legend of the Rangers: To Live and Die in Starlight (2002)
734,Babylon 5: The Lost Tales - Voices in the Dark (2007)
735,Babylon 5: The River of Souls (1998)
736,Babylon 5: Thirdspace (1998)
737,Babylon A.D. (2008)
738,"Babysitter, The (1995)"
739,Bachelor Party (1984)
740,"Bachelor and the Bobby-Soxer, The (1947)"
741,"Bachelor, The (1999)"
742,Back to School (1986)
743,Back to the Beach (1987)
744,Back to the Future (1985)
745,Back to the Future Part II (1989)
746,Back to the Future Part III (1990)
747,"Back-up Plan, The (2010)"
748,Backbeat (1993)
749,Backdraft (1991)
750,Bad Asses (Bad Ass 2) (2014)
751,Bad Asses on the Bayou (2015)
752,Bad Boy Bubby (1993)
753,Bad Boys (1995)
754,Bad Boys II (2003)
755,Bad Company (1995)
756,Bad Company (2002)
757,Bad Day at Black Rock (1955)
758,Bad Education (La mala educación) (2004)
759,Bad Girls (1994)
760,Bad Karma (2012)
761,Bad Lieutenant (1992)
762,Bad Lieutenant: Port of Call New Orleans (2009)
763,Bad Milo (Bad Milo!) (2013)
764,Bad Moms (2016)
765,Bad News Bears (2005)
766,"Bad News Bears, The (1976)"
767,Bad Santa (2003)
768,Bad Santa 2 (2016)
769,"Bad Seed, The (1956)"
770,Bad Taste (1987)
771,Bad Teacher (2011)
772,Bad Words (2013)
773,"Bad and the Beautiful, The (1952)"
774,Badlands (1973)
775,"Bag Man, The (2014)"
776,Bagdad Cafe (Out of Rosenheim) (1987)
777,Bait (2000)
778,Bakuman (2015)
779,Balance (1989)
780,"Ballad of Jack and Rose, The (2005)"
781,"Ballad of Narayama, The (Narayama bushiko) (1983)"
782,Ballistic: Ecks vs. Sever (2002)
783,Balls Out: Gary the Tennis Coach (2009)
784,Balls of Fury (2007)
785,Balto (1995)
786,"Bamba, La (1987)"
787,Bambi (1942)
788,Bamboozled (2000)
789,Banana Joe (1981)
790,Bananas (1971)
791,"Band Wagon, The (1953)"
792,Band of Brothers (2001)
793,Band of Outsiders (Bande à part) (1964)
794,Band of the Hand (1986)
795,"Band's Visit, The (Bikur Ha-Tizmoret) (2007)"
796,Bandidas (2006)
797,Bandits (2001)
798,"Bang, Bang, You're Dead (2002)"
799,"Banger Sisters, The (2002)"
800,Bangkok Dangerous (2008)
801,"Bank Dick, The (1940)"
802,"Bank Job, The (2008)"
803,Baraka (1992)
804,Baran (2001)
805,Barb Wire (1996)
806,Barbarella (1968)
807,"Barbarian Invasions, The (Les invasions barbares) (2003)"
808,Barbarians at the Gate (1993)
809,Barbershop (2002)
810,Barbershop 2: Back in Business (2004)
811,Barbershop: The Next Cut (2016)
812,Barcelona (1994)
813,Barefoot (2014)
814,"Barefoot Contessa, The (1954)"
815,"Barefoot Executive, The (1971)"
816,Barefoot in the Park (1967)
817,Barely Lethal (2015)
818,Barfly (1987)
819,Barking Dogs Never Bite (Flandersui gae) (2000)
820,Barney's Great Adventure (1998)
821,Barney's Version (2010)
822,Barry Lyndon (1975)
